feature,importance
failed_courses,0.2885481454178274
gpa,0.20421529238975517
work_hours_per_week,0.11481067387424558
attendance_rate,0.060393899060971014
credit_hours,0.060270998601778966
age,0.0563079356006293
advisor_meetings,0.05372305693934622
library_visits,0.04335150833564075
first_generation,0.028192398528832943
counseling_visits,0.019139546491545166
tutoring_sessions,0.01836896758601281
office_hours_visits,0.012634413556608427
health_center_visits,0.01113163521952921
study_group_participation,0.010261691154647534
club_participation,0.009583051792716903
financial_aid,0.009066785449912683
